1	2
2	34
3	36
4	37
5	41
6	43
7	117
8	119
9	120
10	122
11	129
12	135
13	136
14	141
15	142
16	143
17	232
18	236
19	240
20	273
21	347
22	357
23	387
24	439
25	440
26	452
27	454
28	457
29	458
30	459
31	484
32	504
33	510
34	514
35	515
36	520
37	521
38	535
39	536
40	569
41	570
42	594
43	595
44	603
45	613
46	614
47	663
48	664
49	665
50	673
51	702
52	737
53	738
54	762
55	763
56	770
57	776
58	854
59	855
60	873
61	876
62	877
63	881
64	953
65	984
66	985
67	1090
68	1105
69	1107
70	1118
71	1119
72	1140
73	1143
74	1146
75	1157
76	1159
77	1163
78	1164
79	1165
80	1181
81	1191
82	1238
83	1239
84	1262
85	1289
86	1306
87	1316
88	1317
89	1344
90	1381
91	1395
92	1396
93	1420
94	1424
95	1425
96	1429
97	1434
98	1447
99	1456
100	1461
101	1462
102	1463
103	1464
104	1471
105	1472
106	1525
107	1542
108	1543
109	1544
110	1560
111	1561
112	1566
113	1567
114	1568
115	1570
116	1571
117	1596
118	1598
119	1601
120	1602
121	1610
122	1611
123	1622
124	1624
125	1629
126	1631
127	1634
128	1635
129	1641
130	1642
131	1643
132	1651
133	1653
134	1657
135	1658
136	1659
137	1660
138	1664
139	1665
140	1668
141	1687
142	1690
143	1691
144	1695
145	1696
146	1699
147	1700
148	1705
149	1706
150	1707
151	1708
152	1709
153	1719
154	1723
155	1724
156	1746
157	1747
158	1748
159	1751
160	1752
161	1755
162	1767
