1	57
2	112
3	113
4	114
5	117
6	119
7	120
8	121
9	125
10	126
11	129
12	130
13	133
14	216
15	217
16	218
17	228
18	259
19	260
20	273
21	277
22	293
23	317
24	318
25	319
26	320
27	322
28	323
29	383
30	384
31	385
32	410
33	429
34	444
35	445
36	447
37	449
38	451
39	484
40	485
41	562
42	563
43	564
44	565
45	606
46	607
47	662
48	668
49	669
50	671
51	677
52	678
53	702
54	727
55	773
56	791
57	802
58	808
59	809
60	813
61	814
62	853
63	873
64	874
65	875
66	881
67	882
68	889
69	910
70	911
71	912
72	913
73	945
74	946
75	974
76	975
77	1008
78	1050
79	1052
80	1085
81	1090
82	1113
83	1114
84	1115
85	1127
86	1157
87	1158
88	1160
89	1161
90	1164
91	1169
92	1170
93	1171
94	1172
95	1190
96	1191
97	1192
98	1193
99	1194
100	1202
101	1204
102	1205
103	1209
104	1214
105	1215
106	1217
107	1218
108	1229
109	1233
110	1235
111	1236
112	1237
113	1246
114	1252
115	1263
116	1264
117	1265
118	1275
119	1280
120	1281
121	1288
122	1289
123	1290
124	1293
125	1294
126	1295
127	1299
128	1300
129	1301
130	1303
131	1305
132	1308
133	1312
134	1313
135	1323
136	1324
137	1330
138	1331
139	1346
140	1362
141	1364
142	1365
143	1366
144	1369
145	1370
146	1379
147	1389
148	1390
149	1391
150	1392
151	1394
152	1395
153	1411
154	1412
155	1418
156	1421
157	1431
