13843,0
10440,0
686,0
15188,1
271,1
5449,2
17012,2
3520,2
6246,2
17001,3
16952,3
5500,4
6652,4
16994,4
380,4
16959,5
6332,5
101,5
8183,6
16941,6
16981,6
17048,6
4128,6
17005,6
4396,6
17103,6
8894,7
1949,7
17006,7
59,8
6658,8
16985,8
17068,9
10860,9
16973,10
2453,10
5949,11
987,11
15577,12
14349,12
16961,13
6317,13
2917,13
17109,13
17075,14
16938,14
431,14
3219,15
16954,15
13353,15
17104,16
17009,16
16314,17
3177,17
3883,17
2393,18
12011,18
16953,18
15227,19
16914,19
16997,20
15962,20
17152,21
17217,21
16946,22
17047,22
4483,23
10840,23
1373,24
8597,24
4751,25
17186,25
17080,26
379,26
16995,26
17084,27
17058,27
1529,28
6012,28
16992,29
17040,29
6793,30
669,30
17209,31
17138,31
6516,32
17156,32
4772,33
4740,33
16964,34
16965,34
7141,35
16949,35
6515,36
16697,36
16686,36
4854,37
13725,37
16933,37
16743,37
16781,37
16852,37
3791,37
16689,37
13330,37
16787,37
9467,38
16810,38
2426,38
16777,38
5396,39
16842,39
16848,39
16915,39
1714,40
16785,40
734,40
16710,41
1591,41
14286,41
16771,41
8131,41
949,42
16932,42
15964,43
4527,43
6481,43
16791,43
3636,43
16760,44
16845,44
16926,44
2227,45
16831,45
16709,46
127,46
943,47
6136,47
16725,48
1477,48
13819,49
16713,49
16712,49
3622,49
14182,49
10159,50
16755,50
