1	3	101, 247, 3219
2	5	271, 380, 686, 1188, 5550
3	3	539, 2691, 3244
4	3	669, 4725, 12538
5	4	754, 758, 16938, 16952
6	2	762, 774
7	14	983, 4442, 4456, 6317, 6764, 7144, 8328, 8601, 10978, 11817, 12438, 14174, 17153, 17210
8	3	1003, 1148, 14873
9	2	1373, 1509
10	2	1879, 1949
11	14	2118, 2151, 8597, 11594, 16443, 16939, 17021, 17024, 17073, 17074, 17106, 17151, 17186, 17224
12	4	2839, 5429, 13623, 17009
13	3	2993, 3177, 6652
14	3	3883, 4364, 17217
15	6	4576, 6658, 7817, 8294, 16946, 17032
16	3	4751, 4939, 15027
17	4	5037, 5090, 16972, 17212
18	2	5272, 5300
19	4	7250, 16944, 17010, 17094
20	5	9017, 9974, 16252, 16975, 16976
21	3	10553, 10840, 10860
22	3	12011, 12211, 17113
23	3	13176, 13353, 17091
24	2	13818, 13819
25	3	14349, 14850, 16994
26	7	15762, 16240, 16984, 16990, 17100, 17102, 17107
27	2	16941, 16942
28	3	16947, 16950, 17003
29	2	16953, 16971
30	2	16978, 16983
31	2	16987, 16988
32	2	17011, 17017
33	2	17022, 17023
34	2	17035, 17038
35	3	17050, 17056, 17058
36	2	17060, 17061
37	2	17064, 17071
38	2	17076, 17077
39	2	17079, 17090
40	3	17098, 17099, 17118
41	2	17108, 17111
42	3	17124, 17145, 17152
43	2	17158, 17166
