1	3	59, 101, 1949
2	2	127, 271
3	4	379, 380, 2393, 16314
4	2	431, 669
5	4	686, 734, 2426, 3636
6	3	943, 949, 4483
7	8	987, 1373, 3883, 6246, 6317, 10860, 13725, 16712
8	6	1477, 1529, 3791, 4751, 14182, 14286
9	3	1591, 1714, 2227
10	2	2453, 2917
11	7	3177, 3219, 5396, 5449, 6652, 12011, 13330
12	2	3520, 3622
13	5	4128, 4396, 6332, 6481, 6516
14	4	4527, 4740, 13353, 16710
15	3	4772, 4854, 6515
16	2	5500, 5949
17	3	6012, 6136, 10840
18	2	6658, 6793
19	2	7141, 8131
20	2	8183, 8597
21	4	8894, 9467, 15962, 15964
22	2	10159, 10440
23	2	13819, 13843
24	2	14349, 15188
25	2	15227, 15577
26	2	16686, 16689
27	2	16697, 16709
28	2	16713, 16725
29	2	16743, 16755
30	2	16760, 16771
31	2	16777, 16781
32	3	16785, 17075, 17104
33	31	16787, 16842, 16845, 16914, 16926, 16932, 16933, 16938, 16941, 16949, 16953, 16954, 16964, 16965, 16992, 16994, 17009, 17012, 17040, 17047, 17048, 17068, 17080, 17084, 17103, 17109, 17138, 17152, 17156, 17209, 17217
34	4	16791, 16946, 16973, 17006
35	11	16810, 16831, 16852, 16915, 16952, 16961, 16981, 16997, 17001, 17058, 17186
36	5	16848, 16959, 16985, 16995, 17005
