1	11	101, 109, 1214, 2453, 6317, 16943, 16945, 16952, 17030, 17035, 17065
2	4	208, 258, 16977, 17007
3	2	271, 461
4	16	528, 669, 1509, 3221, 4217, 16957, 16960, 16969, 16979, 16991, 16993, 16999, 17095, 17097, 17112, 17114
5	2	681, 686
6	2	758, 762
7	4	987, 1188, 9974, 10860
8	2	1520, 1529
9	3	1879, 1949, 5449
10	2	1961, 2151
11	6	2691, 2839, 16650, 16971, 17002, 17055
12	2	2917, 3219
13	2	3244, 3311
14	2	4431, 4442
15	2	4456, 4661
16	2	4680, 4740
17	2	5037, 5300
18	5	5949, 16958, 17000, 17036, 17081
19	4	6012, 6070, 14349, 17038
20	11	6332, 6516, 14962, 15188, 15762, 15962, 16954, 16965, 17012, 17014, 17053
21	2	6526, 6764
22	5	7141, 7817, 13353, 16949, 17066
23	4	8294, 9322, 14442, 15308
24	4	10190, 10440, 17037, 17059
25	3	10978, 11067, 17089
26	2	12159, 12169
27	2	15577, 15609
28	4	16938, 16940, 16956, 17062
29	2	16941, 16942
30	2	16946, 16947
31	2	16985, 16989
32	2	17019, 17027
33	2	17033, 17034
34	3	17040, 17041, 17082
35	3	17042, 17047, 17190
36	2	17086, 17087
37	2	17125, 17129
