1	3	16, 42, 122
2	2	127, 200
3	2	224, 247
4	2	346, 400
5	64	495, 558, 636, 1324, 1477, 1510, 1576, 1720, 1757, 2071, 2078, 2182, 3168, 3394, 3674, 3886, 4070, 4154, 4513, 4527, 4740, 4750, 5461, 5526, 5550, 7580, 8597, 9938, 10973, 11007, 11241, 12422, 14182, 14184, 15300, 15932, 15945, 16567, 16568, 16576, 16581, 16582, 16584, 16588, 16590, 16591, 16593, 16599, 16607, 16611, 16621, 16622, 16624, 16626, 16630, 16635, 16647, 16653, 16654, 16659, 16661, 16666, 16908, 16929
6	6	600, 2942, 15865, 16583, 16674, 16714
7	5	933, 2646, 3650, 7934, 16655
8	10	1516, 1594, 1853, 3350, 5936, 9724, 16575, 16578, 16595, 16616
9	7	1593, 2987, 5500, 10600, 16586, 16589, 16645
10	8	3636, 8133, 16574, 16592, 16637, 16644, 16657, 16825
11	7	3723, 10014, 12065, 16577, 16594, 16609, 16617
12	2	5188, 5369
13	3	5835, 16572, 16614
14	3	8175, 16566, 16571
15	2	12650, 12794
16	3	12868, 16610, 16625
17	4	15839, 16562, 16579, 16773
18	2	16564, 16565
19	3	16580, 16605, 16642
20	3	16608, 16664, 16672
21	2	16639, 16640
