1	3	19, 8994, 16951
2	71	59, 164, 193, 271, 275, 420, 686, 1214, 1373, 1425, 1509, 2365, 2691, 2993, 3173, 3177, 3221, 3320, 3327, 3548, 4483, 4576, 5297, 5875, 5949, 6317, 6652, 7250, 8601, 9017, 9250, 11241, 11249, 11817, 12918, 13353, 14329, 15308, 16939, 16941, 16950, 16969, 16974, 16982, 16983, 16995, 16996, 16998, 17004, 17008, 17009, 17013, 17016, 17020, 17022, 17025, 17026, 17029, 17039, 17043, 17046, 17067, 17078, 17092, 17116, 17117, 17121, 17124, 17134, 17152, 17223
3	11	830, 1077, 14873, 16955, 16963, 17011, 17023, 17049, 17085, 17123, 17198
4	5	1083, 16938, 16986, 17054, 17070
5	12	1140, 1148, 1171, 1188, 2347, 4420, 16942, 16970, 16980, 17051, 17105, 17207
6	11	1520, 5873, 16314, 16914, 16967, 16976, 17007, 17028, 17056, 17115, 17120
7	2	1529, 1879
8	4	2099, 16975, 17083, 17088
9	6	3667, 10840, 16947, 16958, 17074, 17101
10	3	3883, 16240, 17052
11	9	4688, 7860, 12211, 14850, 16946, 16962, 16968, 17018, 17045
12	2	5549, 5749
13	3	8294, 13725, 17110
14	8	10860, 16948, 16966, 16990, 17044, 17063, 17069, 17072
15	4	12438, 12649, 17015, 17122
16	3	16952, 17057, 17077
17	2	17031, 17032
18	2	17093, 17096
