1	2	1
2	1	1
3	4	1
4	3	1
4	11	1
4	41	1
4	42	1
4	53	1
4	67	1
4	107	1
4	110	1
4	118	1
4	135	1
4	143	1
4	144	1
4	146	1
4	153	1
4	156	1
5	6	1
6	5	1
7	8	1
8	7	1
9	10	1
9	20	1
9	37	1
9	43	1
9	80	1
10	9	1
10	95	1
11	4	1
12	13	1
13	12	1
14	15	1
15	14	1
15	81	1
16	17	1
16	36	1
17	16	1
17	37	1
17	61	1
18	19	1
18	71	1
19	18	1
20	9	1
21	22	1
22	21	1
23	24	1
23	145	1
24	23	1
24	100	1
25	26	1
26	25	1
26	33	1
26	69	1
26	70	1
26	75	1
26	94	1
26	104	1
26	111	1
26	142	1
26	155	1
27	28	1
28	27	1
28	40	1
28	60	1
28	64	1
28	106	1
28	126	1
29	30	1
29	101	1
30	29	1
31	32	1
31	120	1
31	149	1
32	31	1
32	119	1
33	26	1
33	72	1
34	35	1
35	34	1
35	82	1
35	105	1
36	16	1
36	51	1
37	9	1
37	17	1
37	44	1
37	57	1
38	39	1
38	91	1
39	38	1
40	28	1
40	52	1
41	4	1
42	4	1
42	68	1
43	9	1
44	37	1
45	46	1
46	45	1
47	48	1
48	47	1
49	50	1
50	49	1
51	36	1
52	40	1
53	4	1
53	54	1
53	73	1
54	53	1
55	56	1
56	55	1
57	37	1
58	59	1
59	58	1
60	28	1
61	17	1
62	63	1
63	62	1
63	124	1
64	28	1
65	66	1
66	65	1
67	4	1
67	74	1
68	42	1
69	26	1
70	26	1
71	18	1
72	33	1
73	53	1
74	67	1
75	26	1
76	77	1
77	76	1
78	79	1
79	78	1
80	9	1
81	15	1
82	35	1
82	117	1
82	123	1
82	129	1
83	84	1
84	83	1
85	86	1
86	85	1
87	88	1
88	87	1
88	94	1
88	112	1
88	160	1
89	90	1
90	89	1
90	119	1
91	38	1
92	93	1
93	92	1
94	26	1
94	88	1
95	10	1
96	97	1
97	96	1
97	157	1
98	99	1
99	98	1
100	24	1
101	29	1
102	103	1
103	102	1
104	26	1
105	35	1
105	132	1
106	28	1
107	4	1
108	109	1
109	108	1
110	4	1
111	26	1
112	88	1
113	114	1
114	113	1
115	116	1
116	115	1
117	82	1
117	125	1
117	133	1
117	134	1
118	4	1
119	32	1
119	90	1
120	31	1
121	122	1
122	121	1
123	82	1
124	63	1
125	117	1
125	154	1
126	28	1
127	128	1
128	127	1
129	82	1
130	131	1
131	130	1
132	105	1
133	117	1
134	117	1
135	4	1
136	137	1
137	136	1
137	150	1
138	139	1
139	138	1
139	158	1
139	159	1
140	141	1
141	140	1
142	26	1
143	4	1
144	4	1
145	23	1
146	4	1
147	148	1
148	147	1
149	31	1
150	137	1
151	152	1
152	151	1
153	4	1
154	125	1
155	26	1
156	4	1
157	97	1
158	139	1
159	139	1
160	88	1
161	162	1
162	161	1
