parentCluster ==> childCluster    totalParentNodes    overlappingChildNodes    Threshold(%)
11==>12	21.0    1.0    4.76
11==>14	21.0    1.0    4.76
11==>5	21.0    6.0    28.57
25==>12	2.0    1.0    50.0
15==>11	8.0    1.0    12.5
15==>6	8.0    1.0    12.5
19==>9	2.0    1.0    50.0
8==>15	6.0    1.0    16.67
8==>5	6.0    1.0    16.67
8==>20	6.0    1.0    16.67
2==>14	51.0    1.0    1.96
2==>15	51.0    1.0    1.96
2==>19	51.0    1.0    1.96
2==>1	51.0    2.0    3.92
2==>7	51.0    1.0    1.96
2==>8	51.0    2.0    3.92
2==>9	51.0    3.0    5.88
2==>2	51.0    1.0    1.96
2==>4	51.0    3.0    5.88
2==>5	51.0    3.0    5.88
22==>9	2.0    1.0    50.0
12==>22	11.0    1.0    9.09
24==>2	3.0    1.0    33.33
24==>5	3.0    1.0    33.33
14==>11	10.0    1.0    10.0
14==>12	10.0    1.0    10.0
14==>6	10.0    1.0    10.0
14==>2	10.0    2.0    20.0
14==>3	10.0    1.0    10.0
16==>1	2.0    1.0    50.0
5==>15	18.0    1.0    5.56
5==>17	18.0    1.0    5.56
5==>1	18.0    1.0    5.56
5==>5	18.0    1.0    5.56
20==>13	2.0    1.0    50.0
