parentCluster ==> childCluster    totalParentNodes    overlappingChildNodes    Threshold(%)
22==>1	2.0    1.0    50.0
12==>1	2.0    1.0    50.0
14==>1	6.0    3.0    50.0
15==>5	4.0    1.0    25.0
16==>14	3.0    1.0    33.33
17==>10	2.0    1.0    50.0
1==>1	7.0    2.0    28.57
1==>9	7.0    1.0    14.29
9==>11	37.0    2.0    5.41
9==>23	37.0    1.0    2.7
9==>19	37.0    1.0    2.7
9==>1	37.0    3.0    8.11
9==>2	37.0    1.0    2.7
9==>4	37.0    1.0    2.7
9==>7	37.0    1.0    2.7
9==>3	37.0    1.0    2.7
9==>10	37.0    1.0    2.7
2==>13	22.0    1.0    4.55
2==>17	22.0    1.0    4.55
2==>1	22.0    1.0    4.55
2==>16	22.0    1.0    4.55
3==>1	23.0    1.0    4.35
3==>2	23.0    1.0    4.35
3==>22	23.0    1.0    4.35
3==>7	23.0    1.0    4.35
4==>2	6.0    1.0    16.67
4==>4	6.0    1.0    16.67
5==>1	2.0    2.0    100.0
10==>13	10.0    1.0    10.0
10==>9	10.0    1.0    10.0
21==>12	4.0    1.0    25.0
