parentCluster ==> childCluster    totalParentNodes    overlappingChildNodes    Threshold(%)
1==>11	201.0    6.0    2.99
1==>23	201.0    1.0    0.5
1==>13	201.0    1.0    0.5
1==>15	201.0    1.0    0.5
1==>17	201.0    2.0    1.0
1==>19	201.0    1.0    0.5
1==>1	201.0    1.0    0.5
1==>6	201.0    1.0    0.5
1==>8	201.0    2.0    1.0
1==>2	201.0    12.0    5.97
1==>4	201.0    1.0    0.5
1==>21	201.0    1.0    0.5
1==>22	201.0    1.0    0.5
1==>12	201.0    5.0    2.49
1==>24	201.0    1.0    0.5
1==>14	201.0    4.0    1.99
1==>16	201.0    1.0    0.5
1==>7	201.0    1.0    0.5
1==>9	201.0    1.0    0.5
1==>3	201.0    1.0    0.5
1==>5	201.0    7.0    3.48
1==>20	201.0    1.0    0.5
2==>8	26.0    1.0    3.85
2==>18	26.0    1.0    3.85
2==>5	26.0    2.0    7.69
5==>2	5.0    1.0    20.0
10==>11	2.0    1.0    50.0
