3244,1
4456,1
16994,1
6652,1
13176,1
17090,1
10860,1
16975,2
2993,2
17118,2
1949,2
2691,2
17153,2
11594,2
14174,2
16983,2
17003,2
8601,2
17073,2
17074,2
10553,2
17056,2
17108,2
17106,2
15762,2
17094,2
17166,2
3219,2
17010,2
762,3
9017,3
1373,3
17022,3
6764,3
271,3
16938,3
17032,3
380,3
17077,3
3177,3
12438,3
6658,3
16953,3
17107,3
16990,3
16987,3
983,3
4576,3
17091,3
4751,3
247,3
17058,3
9974,4
17011,4
17076,4
17035,4
17158,4
7144,4
16941,5
13353,5
5272,6
17186,6
16976,6
16443,6
7250,7
3883,7
17023,8
17024,8
17079,9
17061,9
10840,9
14349,9
758,9
5300,9
10978,9
17100,9
16952,9
16947,9
17050,9
16252,9
17113,9
12211,9
17099,9
4725,9
1148,9
4364,9
17098,9
16944,9
7817,9
5037,9
17152,9
16984,9
12538,9
774,9
2151,9
14873,9
5090,9
1003,9
669,9
17145,9
17060,9
16988,9
8294,9
17071,9
101,9
1509,10
16240,10
6317,10
12011,10
16978,10
754,10
13819,10
17064,10
17210,10
17111,10
11817,11
4939,11
16946,12
17017,12
16939,13
539,13
8597,14
16972,14
16942,14
2839,14
17009,14
686,14
17124,15
16971,15
15027,15
13623,15
17038,16
16950,16
17021,16
1879,17
17212,17
17224,18
13818,18
2118,19
5550,19
17102,20
14850,20
17151,21
17217,21
8328,21
1188,21
5429,22
4442,22
